module,module_display,category,n_module_genes,n_targets_A,n_targets_B,n_union,n_overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity,mirA,mirB
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,125,31,139,17,0.2913752913752914,0.07226107226107226,0.32400932400932403,0.03263403263403264,0.8776978417266187,hsa-miR-124-3p,hsa-miR-34b-5p
Retinoid response,Retinoid response (GO),nb_differentiation,89,18,4,21,1,0.20224719101123595,0.0449438202247191,0.23595505617977527,0.033707865168539325,0.9523809523809523,hsa-miR-124-3p,hsa-miR-34b-5p
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,44,0,44,0,0.07719298245614035,0.0,0.07719298245614035,0.0,1.0,hsa-miR-19a-3p,hsa-miR-2110
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,47,0,47,0,0.16040955631399317,0.0,0.16040955631399317,0.0,1.0,hsa-miR-19a-3p,hsa-miR-2110
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,71,0,71,0,0.1655011655011655,0.0,0.1655011655011655,0.0,1.0,hsa-miR-19a-3p,hsa-miR-2110
Retinoid response,Retinoid response (GO),nb_differentiation,89,8,0,8,0,0.0898876404494382,0.0,0.0898876404494382,0.0,1.0,hsa-miR-19a-3p,hsa-miR-2110
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,44,58,95,7,0.07719298245614035,0.10175438596491228,0.16666666666666666,0.06491228070175438,0.9263157894736842,hsa-miR-19b-3p,hsa-miR-137-3p
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,47,43,80,10,0.16040955631399317,0.14675767918088736,0.27303754266211605,0.11262798634812288,0.875,hsa-miR-19b-3p,hsa-miR-137-3p
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,71,58,116,13,0.1655011655011655,0.1351981351981352,0.2703962703962704,0.1048951048951049,0.8879310344827587,hsa-miR-19b-3p,hsa-miR-137-3p
Retinoid response,Retinoid response (GO),nb_differentiation,89,8,7,15,0,0.0898876404494382,0.07865168539325842,0.16853932584269662,0.07865168539325842,1.0,hsa-miR-19b-3p,hsa-miR-137-3p
