combination,nl_synergy,combination_index,nl_synergy_pvalue,cbca_improvement,same_family,dual_positive,selected_for_dose_response
hsa-miR-196a-5p + hsa-miR-450b-3p,0.079,0.868,0.409,0.139,FALSE,FALSE,FALSE
hsa-miR-34a-5p + hsa-miR-34b-5p,0.081,0.869,0.502,0.178,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-429,0.033,0.872,0.556,0.040,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-20a-5p,0.024,0.875,0.749,-0.153,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-193b-3p,0.016,0.875,0.650,-0.075,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-340-5p,0.036,0.876,0.102,0.168,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-93-5p,0.039,0.878,0.115,-0.042,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-135b-5p,0.023,0.878,0.748,-0.172,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-506-3p,0.153,0.879,0.586,0.190,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-429,0.030,0.880,0.420,-0.106,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-450b-3p,0.069,0.882,0.212,0.138,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-10b-5p,0.009,0.882,0.628,-0.315,TRUE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-20b-5p,0.025,0.885,0.600,-0.058,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-204-5p,0.022,0.885,0.751,0.104,FALSE,FALSE,FALSE
hsa-miR-363-3p + hsa-miR-450b-3p,0.067,0.885,0.549,0.108,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-2110,0.017,0.885,0.705,0.191,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-429,0.028,0.887,0.593,0.120,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-19a-3p,0.021,0.887,0.772,-0.208,FALSE,FALSE,FALSE
hsa-miR-3937 + hsa-miR-506-3p,0.137,0.891,0.580,0.203,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-92a-3p,0.013,0.895,0.705,0.032,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-34b-5p,0.063,0.896,0.632,0.161,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-27b-3p,0.092,0.897,0.473,0.176,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-449a,0.036,0.900,0.606,0.088,FALSE,FALSE,FALSE
hsa-miR-27b-3p + hsa-miR-3714,0.062,0.900,0.807,0.177,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-34a-5p,0.041,0.903,0.624,-0.053,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-93-5p,0.020,0.904,0.571,-0.184,FALSE,FALSE,FALSE
hsa-miR-34b-5p + hsa-miR-3937,0.080,0.905,0.366,0.180,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-211-5p,0.011,0.906,0.623,0.126,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-27a-3p,0.011,0.907,0.394,-0.355,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-27a-3p,0.026,0.907,0.356,0.030,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-93-5p,0.012,0.908,0.741,-0.350,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-106b-5p,0.010,0.912,0.759,-0.394,TRUE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-449b-5p,0.018,0.912,0.788,0.155,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-34b-5p,0.051,0.914,0.663,0.166,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-196a-5p,0.074,0.915,0.644,0.191,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-449a,0.029,0.916,0.687,0.163,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-34b-5p,0.049,0.917,0.776,0.154,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-196a-5p,0.034,0.918,0.857,0.103,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-137,0.071,0.918,0.866,0.156,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-873-5p,0.008,0.919,0.691,-0.056,FALSE,FALSE,FALSE
hsa-miR-449a + hsa-miR-506-3p,0.099,0.919,0.771,0.184,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-143-5p,0.007,0.920,0.817,-0.317,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-429,0.019,0.920,0.562,-0.026,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-93-5p,0.010,0.925,0.629,-0.230,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-211-5p,0.008,0.926,0.492,-0.190,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-449a,0.025,0.929,0.628,0.074,FALSE,FALSE,FALSE
hsa-miR-450b-3p + hsa-miR-873-5p,0.039,0.930,0.671,0.140,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-34b-5p,0.040,0.931,0.762,0.186,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-143-5p,0.007,0.932,0.835,-0.446,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-429,0.016,0.932,0.795,-0.189,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-18a-5p,0.027,0.933,0.898,0.100,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-34a-5p,0.027,0.935,0.731,0.069,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-200c-3p,0.017,0.935,0.407,0.013,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-200c-3p,0.017,0.938,0.570,0.077,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-449a,0.053,0.938,0.701,0.191,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-363-3p,0.010,0.938,0.800,-0.150,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-204-5p,0.016,0.939,0.728,0.022,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-34a-5p,0.022,0.945,0.842,0.092,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-506-3p,0.060,0.949,0.809,0.032,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-211-5p,0.010,0.949,0.752,-0.129,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-93-5p,0.006,0.952,0.912,-0.363,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-340-5p,0.009,0.952,0.826,-0.265,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-20a-5p,0.037,0.956,0.775,-0.255,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-449a,0.014,0.957,0.807,0.132,FALSE,FALSE,FALSE
hsa-miR-2110 + hsa-miR-25-3p,0.013,0.957,0.880,0.167,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-10b-5p,0.004,0.958,0.839,-0.344,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-200c-3p,0.014,0.959,0.767,0.008,FALSE,FALSE,FALSE
